"","Taxon","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density"
"62","Cryptocarya.sclerophylla",NA,14,15,NA,NA,NA
"63","Cryptocarya.triplinervis",4,14.8395416675,20,263.884307802667,14.836333205066,0.65
"64","Cupaniopsis.anacardioides",4,34.9168571428571,15,183.145331763925,10.9228316117519,0.7675
"65","Cupaniopsis.anarcoides",NA,11.727,NA,NA,8.267044811,NA
"66","Cupaniopsis.newmanii",4,24.344,12,NA,NA,NA
"67","Cupaniopsis.serrata",NA,15.75,9,293.215,NA,NA
"68","Cyclophyllum.coprosmoides",NA,21.788,10,NA,NA,NA
"69","Cyperus.involucratus",5,NA,1.2,0.055,NA,NA
"70","Daphnandra.apatela",NA,19.7315,35,NA,NA,0.559
"71","Daphnandra.tenuipes",4,13.069,20,NA,NA,0.5633
"72","Derris.involuta",6,8.313,NA,17.508,NA,NA
"73","Dioscorea.transversa",3,20.5238181818182,NA,21.3085,42.6785504217474,NA
"74","Diospyros.australis",NA,16.6487692307692,20,233.462,7.23829583753543,0.633
"75","Diospyros.ellipticifolia",4,72.45,6,38.4701665346167,NA,NA
"76","Diospyros.fasciculosa",3,26.9065,30,NA,NA,0.69
"77","Diospyros.geminata",NA,16.538,10,NA,NA,NA
"78","Diospyros.pentamera",4,14.875,27.8,46.04,8.34870608162045,0.601666666666667
"79","Diploglottis.australis",3,90.5896666666667,45,NA,NA,0.621233333333333
"80","Dissiliaria.baloghioides",NA,26.775,35,NA,NA,0.847666666666667
"81","Drypetes.deplanchei",3,19.9317142857143,25,91.2435,10.3073167885085,0.778
"82","Dysoxylum.rufum",NA,37.4316666666667,30,108.47,24.5459008345606,0.551
"83","Elaeagnus.triflora",NA,24.515,NA,150,NA,NA
"84","Elaeocarpus.grandis",3,25.06,34.7,27.7260968060315,13.9022606557377,NA
"85","Elaeocarpus.obovatus",3,11.82375,40,86.232,10.8416851198222,0.60665
"86","Elattostachys.nervosa",9,23.4196666666667,40,NA,17.63055773,0.6622
"87","Elattostachys.xylocarpa",5,10.3355,25,NA,NA,0.6626
"88","Embelia.australiana",1,22.1637142857143,NA,59.49,12.7750500200433,NA
"89","Endiandra.discolor",2,25.718,25,250.42,9.72651448246823,0.58725
"90","Endiandra.globosa",NA,37.474,30,20585.2752053774,NA,0.754
"91","Endiandra.pubens",3,23.915,25,NA,NA,0.64965
"92","Endiandra.sieberi",5,15.355,30,1758.5,9.2695587690026,0.6325
"93","Endiandra.virens",NA,16.625,10,NA,NA,NA
"94","Enidandra.discolor",NA,19.5572,NA,NA,11.85088646,NA
"95","Erythrina.species..croftby.",NA,31.85,30,62.832,NA,0.215
"96","Eugenia.uniflora",7,NA,8,258.292,NA,0.7568
"97","Eupomatia.bennettii",3,47.819,2,NA,NA,NA
"98","Eupomatia.laurina",3,36.0983333333333,15,13.424157367255,14.6494504243687,0.509
"99","Euroschinus.falcatus",NA,24.6014285714286,30,7.62,13.6711979741205,0.4225
"100","Ficus.coronata",12,31.5115476192857,20,0.445,16.7746794791073,0.438253
"101","Ficus.fraseri",NA,37.7431428571429,35,0.23,15.2034705882353,0.443
"102","Ficus.obliqua",NA,19.3996666666667,50,0.44,13.2100396301189,0.513
"103","Ficus.opposita",NA,40.6293333333333,10,0.8725,8.27403607479729,0.44
"104","Ficus.racemosa",NA,62.717,35,0.13,NA,0.37
"105","Ficus.virens",NA,46.288,40,0.25,NA,0.342
"106","Ficus.watkinsiana",NA,60.86,40,1.978,NA,0.375
"107","Flagellaria.indica",12,22.3889230769231,NA,33.0403313391311,18.8458967076479,NA
"108","Flindersia.schottiana",2,41.6893333333333,45,53.326,9.53288846520496,0.584857142857143
"109","Geitonoplesium.cymosum",6,5.6658125,NA,15.32,32.9014092642939,NA
"110","Glochidion.ferdinandi",12,21.529375,35,2.24233836543282,14.7138980872277,0.5877931254
"111","Grevillea.robusta",3,43.867466666,35,21.8742563300835,10.6046801833333,0.525517020818182
"112","Guioa.semiglauca",3,14.5305,40,42.6376666666667,12.3810054032315,0.7161
"113","Helicia.glabriflora",NA,27.4766666666667,30,152.7,8.4005376344086,0.5762
"114","Heritiera.trifoliolata",3,17.6175,40,110,10.4827347673477,0.762
"115","Hibiscus.heterophyllus",NA,96.25,8,12.552,NA,NA
"116","Hicksbeachia.pinnatifolia",3,41.33,NA,NA,NA,NA
"117","Hippocratea.barbata",2,13.1896,NA,41.5,26.6029983282454,NA
"118","Hodgkinsonia.ovatiflora",3,10.25,35,NA,NA,0.8256
"119","Hymenosporum.flavum",3,29.5756666666667,28,6.7451208425893,14.71574702,0.5885
"120","Ipomoea.cairica",3,NA,NA,24.851,NA,NA
"121","Ixora.beckleri",4,29.2125,15,NA,NA,0.8256
"122","Jacaranda.mimosifolia",NA,NA,NA,11.7,NA,NA
"123","Jagera.pseudorhus",3,5.522,15,37.2531570887905,22.298684748585,0.653
"124","Lantana.camara",2,28.5941666666667,4,19.0005,23.7091284475,NA
"125","Legnephora.moorei",3,130.847,NA,36,27.1517784414879,NA
"126","Lepiderema.pulchella",2,6.431,15,NA,NA,NA
"127","Leucaena.leucocephala",3,NA,8,48,NA,0.76
"128","Ligustrum.lucidum",6,29.48565,4.5,22.793,13.211678976,0.57942
"129","Ligustrum.sinense",5,13.07,3,16.8256666666667,9.712397385,0.612
"130","Ligustrum.sinensis",NA,3.6995,NA,NA,42.8418513,NA
"131","Lomandra.longifolia",5,39.6823333333333,1,11.33,5.078207361,NA
"132","Lophostemon.confertus",3,33.682,40,6.50012467935515,NA,0.7328
"133","Lophostemon.suaveolens",3,35.5811428571429,30,0.565,9.42118943823961,0.6138781315
"134","Macadamia.tetraphylla",3,43.845,18,NA,6.254,NA
"135","Maclura.cochinchinensis",NA,8.60825,NA,11.167,18.4222467297166,NA
"136","Mallotus.claoxyloides",6,32.21625,8,62.860363750646,17.06017648,NA
"137","Mallotus.discolor",NA,15.5475,30,NA,NA,0.60675
"138","Mallotus.philippensis",11,42.0419047614286,25,22.7502591092639,19.12979351,0.603333333333333
"139","Marsdenia.rostrata",6,38.6523333333333,NA,77.35,23.6996566640446,NA
"140","Medicosma.cunninghamii",12,25.5415,10,NA,NA,NA
"141","Melaleuca.bracteata",3,0.299,15,0.0570170270528256,NA,0.87
"142","Melaleuca.quinquenervia",7,7.508,35,0.200263476228058,7.962321972,0.670125036
"143","Melia.azedarach",4,6.3,45,321.375832537482,NA,0.387666666666667
"144","Melodinus.australis",6,48.79575,NA,65,NA,NA
"145","Melodorum.leichhardtii",5,29.9825,NA,124.16,NA,NA
"146","Micromelum.minutum",12,28.1105,10,22,NA,NA
"147","Mischarytera.lautereriana",NA,21.175,30,NA,NA,0.5935
"148","Mischocarpus.australis",NA,17.85,35,NA,NA,0.6493
"149","Mischocarpus.pyriformis",NA,37.9065714285714,30,187.2,8.78600060519922,0.6
"150","Morinda.jasminoides",7,9.53809090909091,NA,7.24833333333333,26.0434633965627,NA
"151","Myrsine.variabilis",5,14.4521428571429,10,28.404,11.6924793852689,0.75917
"152","Neolitsea.dealbata",3,59.3437549017647,20,146.0075,12.7494502088928,0.499757142857143
"153","Notelaea.longifolia",7,34.9340909090909,9,97.8275,9.64845733456075,0.83987
"154","Notelaea.microcarpa",7,10.5876,10,43.521,6.615,0.638719277
"155","Ochna.serrulata",6,6.7976,3,83.76,20.1976666666667,NA
"156","Olea.paniculata",3,30.015,30,82.5,15.1194436044754,0.760333333333333
"157","Pandorea.pandorana",7,10.1108,NA,3.9844375,27.0173449599929,0.4477
"158","Pararchidendron.pruinosum",4,12.4766666666667,20,56,24.6062992125984,0.5125
"159","Parsonsia.straminea",5,41.8667272727273,NA,8.848,22.3762691214052,NA
"160","Passiflora.edulis",5,130.67,NA,13.481,21.6,NA
"161","Passiflora.suberosa",8,NA,NA,3.476,NA,NA
"162","Passiflora.subpeltata",6,NA,NA,69,NA,NA
"163","Pavetta.australiensis",3,47.775,7,219,NA,NA
"164","Phyllanthus.microcladus",3,0.147,1,NA,NA,NA
"165","Pilidiostigma.rhytispermum",NA,1.89,10,55.8125393040388,NA,NA
"166","Piper.hederaceum",NA,51.476,NA,NA,NA,NA
"167","Pittosporum.multiflorum",6,0.268,4.2,11.071,NA,NA
"168","Pittosporum.undulatum",4,28.9654,25,9.34253904089783,11.1524932031753,0.6446
"169","Planchonella.australis",4,29.4,40,670.457262907258,NA,0.7568
"170","Pleurostylia.opposita",NA,10.5,15,NA,NA,NA
"171","Polyscias.elegans",5,29.274125,30,6.84026093777776,13.7355112476707,0.36075
"172","Pothos.longipes",2,4.2,NA,109,12.0048,NA
"173","Pouteria.queenslandica",NA,31.55,40,150.796,NA,NA
"174","Pseudoweinmannia.lachnocarpa",3,16.678,35.2,NA,NA,0.744666666666667
"175","Psychotria.daphnoides",3,1.26,2,18.413,NA,NA
"176","Psychotria.loniceroides",3,20.94175,5,9.58908578102923,14.6699249572766,0.69
"177","Psychotria.spp...shute.harbour.",NA,18.9,5,NA,NA,NA
"178","Psydrax.odorata",NA,14.7,15,NA,NA,0.825
"179","Pteridium.esculentum",NA,12.7346666666667,1.8,NA,10.1709712855714,NA
"180","Rhodamnia.argentea",4,24.684,40,16.978,NA,0.705366666666667
"181","Rhodamnia.rubescens",4,16.7276666666667,30,3.798,10.993,0.6414
"182","Rhodomyrtus.psidioides",2,31.845,20,4.1765,13.1238820842933,0.7783
"183","Rhodosphaera.rhodanthema",3,7.963,27,448.871,NA,0.5895
"184","Ricinus.communis",3,NA,3.5,295.6,47.11,NA
"185","Rubus.moluccanus",6,45.1576666666667,NA,0.85,13.84331023,NA
"186","Rubus.rosifolius",12,3.19675,NA,0.524784110637871,23.9593333333333,NA
"187","Sarcopteryx.stipata",4,12.066,40,37.19,9.16926462497708,0.83875
"188","Schefflera.actinophylla",5,117.469,24,7.87903786820389,NA,0.4065
"189","Senna.septemtrionalis",9,NA,3,20.604,NA,NA
"190","Senna.sulfurea",NA,19.635,11,42.6795,NA,NA
"191","Sloanea.australis",6,57.03725,45,NA,13.838,0.509
"192","Sloanea.woollsii",3,35.535,45,NA,NA,0.523733333333333
"193","Sloenea.australis",NA,63.565,NA,NA,16.884034675,NA
"194","Smilax.australis",6,53.425125,NA,35.2845,11.2165685697378,NA
"195","Solanum.chrysotrichum",NA,NA,NA,1.388,NA,NA
"196","Solanum.mauritianum",9,NA,4,1.07,20.12699687,0.449091629
"197","Solanum.seaforthianum",9,NA,NA,2.115,NA,NA
"198","Solanum.torvum",NA,NA,NA,1,NA,NA
"199","Stephania.japonica",6,40.5241818181818,NA,20.588666673519,21.6154114519391,NA
"200","Sterculia.quadrifida",3,91.1793333333333,25,NA,NA,0.322
"201","Streblus.brunonianus",9,11.429816666,30,12,21.07134504,0.68125
"202","Synoum.glandulosum",3,42.3216057692308,20,202.231066045636,12.3775603595273,0.527571428571429
"203","Syzygium.australae",NA,10.419,NA,NA,16.17224236,NA
"204","Syzygium.australe",3,13.813,24,243.77094605727,12.2677711193673,0.6115
"205","Syzygium.floribundum",2,24.456,30,1455.38103790523,13.58,0.5897
"206","Syzygium.luehmannii",3,6.321,35,21.1037099916711,13.9171848106089,0.645
"207","Syzygium.oleosum",10,19.3494444444444,17,198.320896260964,11.3613776953737,0.751443983333333
"208","Tabernaemontana.pandacaqui",6,26.0183333333333,4,23.597,NA,NA
"209","Tecoma.capensis",6,NA,3,2.148,NA,NA
"210","Tecoma.stans",6,NA,NA,9,NA,0.462
"211","Toechima.tenax",3,6.15,30,NA,NA,0.6622
"212","Toona.ciliata",4,30.40175,45,2,14.9328149343663,0.397125
"213","Trema.tomentosa",4,21.958,6,3.53,27.5435325287312,0.3565524266
"214","Tristaniopsis.laurina",2,14.2245,30,10.25641026,7.2051378275,0.76154036275
"215","Trophis.scandens",12,24.6769,NA,80.55,10.4958516872389,0.6589391665
"216","Turraea.pubescens",3,20.3,7,NA,NA,NA
"217","Vitex.melicopea",NA,24.938,30,NA,NA,0.49
"218","Wikstroemia.indica",2,5.20666666666667,4,17,25.1572327044025,0.58
"219","Wilkea.huegeliana",NA,28.349375,NA,NA,11.37863824,NA
"220","Wilkiea.huegeliana",3,39.1055555555556,13.5,131.15,9.72441242666195,0.62095
"221","Wilkiea.macrophylla",3,61.5,10,NA,NA,NA
